comm_method,info_name,effective_high,certainty_high,certainty_minus_effective
random,misinformation,0.4368533333333333,0.43747,0.0006166666666667098
random,corrective,0.6518033333333334,0.5282966666666667,-0.12350666666666665
random,observational,0.3277632255181275,0.3453241379310345,0.017560912412907026
random,behavior-guiding,0.11227,0.16198,0.04971000000000002
original,misinformation,0.43046999999999996,0.43101666666666666,0.0005466666666666953
original,corrective,0.6616266666666667,0.55574,-0.10588666666666668
original,observational,0.32984901098901104,0.3443146853146853,0.01446567432567425
original,behavior-guiding,0.10167333333333334,0.14706333333333332,0.045389999999999986
half_facebook,misinformation,0.4773833333333333,0.4788766666666667,0.0014933333333333465
half_facebook,corrective,0.6410733333333333,0.55857,-0.08250333333333326
half_facebook,observational,0.3281488536155203,0.3426872909698997,0.014538437354379374
half_facebook,behavior-guiding,0.12369666666666668,0.16695333333333337,0.04325666666666669
facebook_like,misinformation,0.49241,0.49544000000000005,0.0030300000000000327
facebook_like,corrective,0.69145,0.5668566666666667,-0.12459333333333333
facebook_like,observational,0.33212043969102795,0.3353178743961353,0.0031974347051073604
facebook_like,behavior-guiding,0.13283999999999999,0.17623666666666668,0.043396666666666694
